Title,Summary,Contents,Photo,Section,Themes,Times,Place,Referenced articles,Related articles,Author,(Source),Publication date,Link,,,,,,,,,,,,,,
Auto de receção para libertação de caução parcial - final dos trabalhos,,"Por despacho do diretor do Departamento de Habitação Municipal, Arq.º Manuel Abílio Ferreira: Por despacho de 2020/10/14, foi homologado o Auto de receção para libertação de caução parcial - final de trabalhos da «Empreitada n.º 40/DMPO/DCMH/DMEM/2014 - Obras de recuperação de paredes exeriores e de elementos em risco de queda no Palácio Marim Olhão, sito na Calcada do Combro, 38» adjudicada à firma Santos & Cipriano - Construções CIvis e Obras Públicas, Ltd.ª.",,Direção Municipaç,Manutenção e conservação; departamento de habitação municipal; divisão de intervenção em habitação,10/14/2020,"O Palácio Marim Olhão, Calçada do Combro, 38",,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Autos de vistoria para efeitos de lberação de caução,,"Por despacho do diretor do Departamento Edifícios Municipais - Arq.º João Gomes Teixeira: Por despacho de 2020/10/09, foi homologado o Auto de istoria para efeitos de liberação de caução da «Empreitada n.º 2/DMPO/DCME/2015 - Reabilitação das intalações sanitárias de Escola Básica de 1.º Ciclo e JI do Castelo», adjudicada à firma Betonit - Engenhaira e Contruções, Ltd.ª. Por despacho de 2020/10/14, foi homologado o Auto de vistoria para efeitos de liberação de caução da «Empreitada n.º 8/DMPO/DCME/DPE/2012 - Beneficiação da EBI n.º 6 e JI de Santo  Condestavel - Financiamento de PIPARU», adjudicada à firma Betonit - Engenharia e Construções, Ltd.ª. Por despacho de 2020/10/14, foi homolgado o Auto de vistoria para efeitos de liberaçãod e caução da «Empreitada n.º 3/DMPO/DCME/DPE/13 - Reabilitação da EBI + JI n.º 44 - Mestre Arnaldo Louro de Almeida», adjudicada à firma Betonit - Engenhaira e Construções, Ltd.ª. Por despacho de 2020/10/14, foi homologado o Auto de vistoria para efeitos de liberaçãod e caução da «Empreitada n.º 30/DMPO/DCME/DPE713 - Remodelação e recuperação do Mercado de Arroios», adjudicada à firma Lopes e Martins - Engenharia, Construões e Obras Públicas, Ltd.ª.",,Direção Municipaç,Manutenção e conservação; departamento de edifícios municipais; divisão de projeto e construção de edifícios,2020/10/09; 2020/10/14,"Escola Básica de 1.º Ciclo e J1 do Castelo; EB1 n.º 6 e JI de Santo Condestável; EB1 + JI n.º 44, Mestre Arnaldo Louro de ALmeida; Mercado de Arroios",,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Edital n.ºs 14/PM/2020,Viaturas abandonadas,"Faz-se saber que, nos termos dos artigos 163.º e seguintes do Código da Estrada, aprovado pelo Decreto-Lei n.º 114/94, de 3 de maio, alterado pelo Decreto-Lei n.º 44/55, de 23 de fevereiro e pela Lei n.º 72/2013, de 3 de setembro, os veículos abaixo indicados, removidos para o Parque de veículos removidos da EMEL - Rua Reis Pinto, Alta de Lisboa em Lisboa, serão considerados abandonados e adquiridos por ocupação pela Câmara Municipal de Lisboa, se não forem leventados, no prazo de 45 dias, a contar da data da publicação do presente Edital. Nome Proprietário Local de remoção Matricula Processo Jorge Helder Ferreira Gouveia Lg Mendonça e Costa, Lisboa 86-87-TH 13020 VR 2020 Rui Aleandre de Bastos Murtinhal ROcha COnde Obidos, Lisboa 92-42-GB 13022 VR 2020 Desconhecido Rua Franciso Ribeiro, oposto ao n.º2, Lisboa, 40402CHC 13036 VR 2020 Desconhecido Rua Marques da Silva, n 59, LIsboa DY370AR 13038 VR 2020 Lisboa, em 2020/10/13. Pel O comandante, (a) Joaquim D. Carrilho Almeida - Comissário",,Polícia municipal,,10/13/2020,"Lg Mendonça e Costa, Lisboa; Rocha COnde Obidos, Lisboa; Rua Francisco Ribeiro, oposto ao n.º2, Lisboa; Rua Marques da Silva, n 59, Lisboa",Decreto-Lei n.º 114/94; Decreto-Lei n.º 44/2005; Lei n.º 72/2013,,Joaquim D. Carrilho Almeida,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Edital 15/PM/2020,Viaturas abandonadas,"Faz-se saber que, nos termos dos artigos 163.º e seguintes do Código da Estrada, aprovado pelo Decreto-Lei n.º 114/94, de 3 de maio, alterado pelo Decreto-Lei n.º 44/55, de 23 de fevereiro, os veículos abaixo indicados encontram-se depositados no Parque Municipal, sito no Vale do Forno, Carnide, nesta cidade, serão consdierados abondados e adquiridos por ocupação pela Câmara Municipal de Lisoba, se não forem leventados, no prazo de 45 dias, a contar da data da publicação do presente Edital. Vera Sofia Pereira AV David Mourão Ferreira c/ R Jose Cardoso Pires - Li 75-98-HF 12562 VR 2020 João Pena Monteiro Lateral Direita Gare do Orente, Lisboa 94-AX-08 12696 VR 2020 Alcebiades de Campos Coelho Rua Jorge Barradas, nº45 - Lisboa 77-GC-18 12749 VR 2020 Jose Manuel Martins Bairros Calçada Carriche, Pct traseiras lote 45 - Lisboa QE-0961 12841 VR 2020 Afonso Samuel Carlos Pérolas R Maria Alice, nº 6 - Lisboa 82-40-HZ 12870 VR 2020 António dos Santos Ferreira Rua Leite de Vasconcelos 65, Lisboa QT-71-35 Mustapha En Nached R João Amaral, oposto nº 22 - Lisboa 62-95-DE 12955 VR 2020 Desconhecido 4 do Arco de Carvalhao, Lisboa 53-92-PD 12995 VR 2020 Crisotomo Soares Tavares Lopes Rodrigues Estrada da Circunvalação, Jt.ºOf.ªHereoletrica, Lisboa 15-84-PD 13030 VR 2020 Desconhecido Rua do Mirante, n.º 22, Lisboa S/Matricula 13037 VR 2020 Desconhecido Av D Carlos 1, 67 - Lisboa S/matricula 13077 VR 2020 Desconhecido AvÇ Vergilio Ferreira 1t 734, Lisboa 18-97-I 13102 VR 2020 Desconhecido R Estácio da Veiga, 7 - Lisboa S/Matricula 13107 VR 2020 Lisboa, em 2020/10/13. Pel O comandante, (a) Joaquim D. Carrilho Almeida . Comissário",,Polícia municipal,,10/13/2020,"AV David Mourão Ferreira c/ R Jose Cardoso Pires, Lisboa; Lateral Direita Gare do Orente, Lisboa; Rua Jorge Barradas, nº 45, Lisboa; Calçada Carriche, Pct traseiras lote 45, Lisboa; R Maria Alice, nº 6, Lisboa; Rua Leite de Vasconcelos 65, Lisboa; R João Amaral, oposto nº 22, Lisboa; R do Arco de Carvalhao, Lisboa; Estrada da Circunvalação, Jt.ºOf.ªHereoletrica, Lisboa; Rua do Mirante, n.º 22, Lisboa; Avª Vergilio Ferreira lt 734, lisboa; R Estácio da Veiga, 7, Lisboa",Decreto-Lei n.º 114/94; Decreto-Lei n.º 44/2005,,Joaquim D. Carrilho Almeida,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Processos deferidos,,"Por despacho da chefe da Divião de Gestão Cemiterial, Dr.ª Sara Conçalves (ao abrigo do Despacho, de subdelegação de competências, n.º 17/DMAEVCE/CML/19, publicado no i número mil trezentos e vinte, de seis de junho de dois mil e dezanove): Mudança de interessado de compartimento municipal (artigos T1.1.17 ou T7.6.3. da abela de Taxas Municipais em vigor) 9529/CML - Paulo Jorge Duarte Cosme. 12 155/CML - Leocádia Carolina Guerra Palmeiro Lico. 12 314/CML - Susana Alexandra Lima Silva Albuquerque. 12 419/CML Marisa Rosa Inácio Alexandre. 12 441/CML - Kwong Hing. 12 489/CML - Maria Venília GIl Pires Tavares. 12 533/CML - João Carlos Malhadas Callixto. 12 536/CML - João Carlos Malhadas Callixto. 12 587/CML - Maria Cristina Milheiro de Mira Galvão. 12 594/CML - Elisabete de São José Rebelo de Carvalho Jacinto. 12 595/CML - António José Garcia da Silv. 12 666/CML - Maria Teresa Barbosa de Oliveira Martins Ramos Chaves. 12 696/CML - João Caros Gaspar de Sousa. Entrada de viatura em cemitério municipal. 12 563/CML - Vítor Manuel Guerreiro. A licença de obra, relativa ao processo a seguir indicado, deverá ser paga na Secretaria do Cemitério respetivo, no prazo de 30 dias, contrado a partir da data desta publicação, de contrário será o processo arquivado, nos termos do artigo 113.º do Código do Procedimento Administrativo. Revestimento de sepultura perpétua (artigo 54.º do Regulamento dos Cemitérios Municipais e taxas previstas na Tabela de Taxas Municipeis em vigor) 10 368/CML - Mria Filipa do Rosário Alves Correia. Averbamento de jazigo particular ou sepultura perpétua (artigo 63.º do Regulamento dos Cemitérios Municipeis e artigo T7.6.2. da Taela de Taxas Municipais em vigor) 11 835/CML - maria Teresa Guedes Patrício Simas Faria de Castro. 11 978/CML José Paulo da Silva Tomé Romero e outro. 12 214/CML - Jorge Silvério da Silva Martins. 12 317&CML - José Manuel Nortos Cardoso de Menezes e outra. Averbamentoe 2.ª via de título ou alvará (artigos 63.º e 53.º - n.º 4 do Regulamento dos Cemitérios Municipais e artigos T7.6.2 e T7.6.2.1. da Tabela de Taxas Municipais em vigor) 12 093/CML - Frederico Delgado Chaves Rosa. lienação de jazigo particular (artigo 64.º do Regulamento dos Cemitérios Municipais e artigo T7.7.2 da Taela de Taxas Municipais em vigor) 11 273/CML - Adolfo Manuel Barroso Leal.",,Direção Municipaç,"Ambiente, estrutura verde, clima e energia; divisão de gestão cemiterial",,,n.º 18/DMAEVCE/CML/19; Tabela de Taxas Municipais; 113.º DO cODIGO DO pROCEDIMENTO aDMINISTRATIVO; aRRIGO 54.º DO rEGULAMENTO DOS cEMITÉRIOS mUNICIPAEL E TAXAS PREVISTAS; artigo 63.º do Regulamento dos Cemitérios Municipais; ,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Petições deferidas,,"Ao abrigo dos artigos 90.º, 91.º, 97.º, e 98.º do Regulamento dos Cemitérios Municipais Por despacho da chefe da Divisão de Gestão Cemiterial, Dr.ª Sara Gonçalves (no uso da subdelegação de competências dada pelo Despacho n.º 18/DMAEVCE/CML/19, de 2019/05/31, publicado no BOletim Municipal n.º 1320, de 2019/06/06): Revestimento de sepultura temporária 1269 - Fortunata de Sousa Tabuada dos Santos. 1278 - Lídia Maria Contreiras da Fonseca Cardoso. 1279 - Maria Helena de Jesus Branco Prieto Rodrigues. 1280 - Carlos Alberto Janeiro dos Santos. 1293 - João Rodrigues. Intervenção em compartimento municipal 1288 - Maria de Lourdes Carvalho Ferreira Figueiredo. Obras de limpeza e beneficiação em construções particulares 1289 - Maria Teresa Dominguez Rivera Saraiva. 1290 - Rui Baptista Trindade. 1291 - Maria D'Orey Roquette Travassos Valdez. As taxas, relativas às petições, atrás indicadas, deverão ser pagas na Secretaria do Cemitério, no prazo de 30 dias, contados a partir da data desta publicação, de contrário serão as petições Arquivadas, nos termos do n.º 1 do artigo 133.º do Código do Procedimento Aministrativo.",,Direção Municipaç,"Ambiente, estrutura verde, clima e energia; Cemitério do alto de São João",,Cemitério do alto de São João,90.º do Regulamento dos Cemitérios Municipais; 91.º do Regulamento dos Cemitérios Municipais; 97.º do Regulamento dos Cemitérios Municipais; 98.º do Regulamento dos Cemitérios Municipais; Despacho n.º 18/DMAEVCE/CML/19; do n.º 1 do artigo 133.º do Código do Procedimento Administritivo.,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Petição deferida,,"Ao abrigo dos artigos 90.º, 91.º, 97.º, e 98.º do Regulamento dos Cemitérios Municipais Por despacho da chefe da Divisão de Gestão Cemiterial, Dr.ª Sara Gonçalves (no uso da subdelegação de competências dada pelo Despacho n.º 18/DMAEVCE/CML/19, de 2019/05/31, publicado no BOletim Municipal n.º 1320, de 2019/06/06): Revestimento de sepultura temporária 1270 - Ira da Silva Dias Carvalheiro de Sousa Achiam. - As taxas, relativas às petições, atrás indicadas, deverão ser pagas na Secretaria do Cemitério, no prazo de 30 dias, contados a partir da data desta publicação, de contrário serão as petições Arquivadas, nos termos do n.º 1 do artigo 133.º do Código do Procedimento Aministrativo.",,Direção Municipaç,"Ambiente, estrutura verde, clima e energia; Cemitério dos Prazeres",,Cemitério dos prazeres,90.º do Regulamento dos Cemitérios Municipais; 91.º do Regulamento dos Cemitérios Municipais; 97.º do Regulamento dos Cemitérios Municipais; 98.º do Regulamento dos Cemitérios Municipais; Despacho n.º 18/DMAEVCE/CML/19; do n.º 1 do artigo 133.º do Código do Procedimento Administritivo.,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Petições,,"Ao abrigo dos artigos 90.º, 91.º, 97.º, e 98.º do Regulamento dos Cemitérios Municipais Por despacho da chefe da Divisão de Gestão Cemiterial, Dr.ª Sara Gonçalves (no uso da subdelegação de competências dada pelo Despacho n.º 18/DMAEVCE/CML/19, de 2019/05/31, publicado no BOletim Municipal n.º 1320, de 2019/06/06): Revestimento de sepultura temporária 1281 - Maria João Faria Pequito. 1282 - Teresa Maria de Matos Teixeira. 1283 - Maria Adelaide Rodrigues Serafim Nogueira. 1292 - Clementina da Conceição Marques da Silva Estevez. As taxas, relativas às etições, atrás indicadas, deverão ser pagas na Secretaria do Cemitério, no prazo de 30 dias, contados a partir da data desta publicaçõe, de contrário serão as petições Arquivadas, nos termos do n.º 1 do artigo 133.º do Código do Procedimento Administrativo.",,Direção Municipaç,"Ambiente, estrutura verde, clima, e energia; Cemitério da Ajuda",,Cemitério da ajuda,90.º do Regulamento dos Cemitérios Municipais; 91.º do Regulamento dos Cemitérios Municipais; 97.º do Regulamento dos Cemitérios Municipais; 98.º do Regulamento dos Cemitérios Municipais; Despacho n.º 18/DMAEVCE/CML/19; do n.º 1 do artigo 133.º do Código do Procedimento Administritivo.,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Petições,,"Ao abrigo dos artigos 90.º, 91.º, 97.º, e 98.º do Regulamento dos Cemitérios Municipais Por despacho da chefe da Divisão de Gestão Cemiterial, Dr.ª Sara Gonçalves (no uso da subdelegação de competências dada pelo Despacho n.º 18/DMAEVCE/CML/19, de 2019/05/31, publicado no BOletim Municipal n.º 1320, de 2019/06/06): Revestimento de sepultura temporária 1271 - Mariana da Silva Baptista. 1274 - Anabela Henriques da Silva GOmes. 1276 - Manuel Paula Soares de Oliveira. 194 - Albino da Silva Ribeiro. 1295 - Maria Carmo da Nave Felício Gonçalves. 1296 - Judite Ribeiro Batista. 1297 - Isabel Albertina carvalho Assunção Aleixo Santos. 1298 - Manuel Aurélio de Sousa Pontes. 1300 - Ana Maria Balsinha Duque Loureiro. 1301 Maria Eugénia da Conceição Amorim Gavinho e Silva. 1302 - Maria Odete Martins Carvalho Moreira da Silva. 1305 - Ana Luísa Borges Costa. 1306 - Maria Isabel Antunes Henriques Calado. 1307 - Clemente Fernando dos Santos Guerreiro. 1308 - Maria Vaideanu. 1324 - Ana Margarida Pacheco Morgado Tapia. Intervenção em compartimento municipal 1263 - Olga Leonidivna Steshenko. 1272 - Maria Ester de Almeida Romão. 1273 - Benito Martinez Araújo. 1303 - Luísa Isabel Haigh de Sousa Ramos. 1304 - Sandra Isabel Passos de Castro. 1323 - Dália Maria Soares Fernandes. As taxas, relativas às etições, atrás indicadas, deverão ser pagas na Secretaria do Cemitério, no prazo de 30 dias, contados a partir da data desta publicaçõe, de contrário serão as petições Arquivadas, nos termos do n.º 1 do artigo 133.º do Código do Procedimento Administrativo. ",,Direção Municipaç,"Ambiente, estrutura verde, clima e energia; Cemitério de Benfica",,Cemitério de Benfica,90.º do Regulamento dos Cemitérios Municipais; 91.º do Regulamento dos Cemitérios Municipais; 97.º do Regulamento dos Cemitérios Municipais; 98.º do Regulamento dos Cemitérios Municipais; Despacho n.º 18/DMAEVCE/CML/19; do n.º 1 do artigo 133.º do Código do Procedimento Administritivo.,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Petições,,"Ao abrigo dos artigos 90.º, 91.º, 97.º, e 98.º do Regulamento dos Cemitérios Municipais Por despacho da chefe da Divisão de Gestão Cemiterial, Dr.ª Sara Gonçalves (no uso da subdelegação de competências dada pelo Despacho n.º 18/DMAEVCE/CML/19, de 2019/05/31, publicado no BOletim Municipal n.º 1320, de 2019/06/06): Revestimento de sepultura temporária 1284 - Patrícia Diana Freiria Carvalho de Jesus. 1285 - Ana Paula Baptista Fernandes Cardoso. 1299 - Marília Augusta Trigo Pereira. Intervenção em compartimento municipal 1286 - António Manuel Gonçalves Amaro de Matos. 1287 - Fernndo José Machado do Nascimento. As taxas, relativas às etições, atrás indicadas, deverão ser pagas na Secretaria do Cemitério, no prazo de 30 dias, contados a partir da data desta publicaçõe, de contrário serão as petições Arquivadas, nos termos do n.º 1 do artigo 133.º do Código do Procedimento Administrativo.",,Direção Municipaç,"Ambiente, estrutura verde, clima, e energia; cemetério do Lumiar",,Cemitério do Lumiar,90.º do Regulamento dos Cemitérios Municipais; 91.º do Regulamento dos Cemitérios Municipais; 97.º do Regulamento dos Cemitérios Municipais; 98.º do Regulamento dos Cemitérios Municipais; Despacho n.º 18/DMAEVCE/CML/19; do n.º 1 do artigo 133.º do Código do Procedimento Administritivo.,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Processo coercivo extinto por inutilidade superveniente,,"39/IODLU/18 - Estado Português . - Nos termos do despacho exarado pela diretora de departamento, Dr.º Ana Sofia Ribeiro, em 2020/10/12.",,Direção Municipaç,Higiene Urbana; Departamento de Higiene Urbana,10/12/2020,,,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Requerimento indeferido,,"15/REQDHU - Mónica Mendes. - Nos termos do despacho exarado pela diretora do DHU, Dr.ª Ana Sofia Ribeiro, em 2020/10/13.",,Direção Municipaç,Higiene Urbana; Departamento de Higiene Urbana,10/13/2020,,,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de vistoria para efeito de liberação parcial de quantias retidas - n.º 3 (3.º ano de liberação com prazos de garantia de 5 e 10 anos),,"Por despacho da diretora da Unidade de Coordenação Territorial, Dr.ª Helena Maria Pereira Caria (por subdelegação de competências ao abrigo do Despacho n.º 139/P/2019, de 10 de dezembro de 2019, publicado no 3.º Suplemento ao Boletim Municipal n.º1347, de 12 de dezembro de 2019): Por despacho de 9 de outubro de 2020, foi homologado o Auto de vistoria para efeito de liberação parcial de quantias retidas - n.º 3 (3.º ano de liberação com prazos de garantia de 5 e 10 anos) da «Empreitada n.º 18/UCT/BLX/2017 - Execução de pavimentos pedonais em calçada artística à portuguesa com ao desenho da varavela de Lisboa na Avenida da República», adjudicada à entidade Obragoito - Construções e Obras Públicas, Ltd.ª.",,Unidade de coordenação territorial,Divisão de planeamento e controlo operacional,10/9/2020,Avenida República,Despacho n.º 139/P/2019; 3.º Suplemento ao Boletim Municipal n.º 1347; Empreitada n.º 18/UCT/BLX/2017,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de vistoria para efito de liberação parcial de quantias retidas - n.º 3 (3.º ano de garantia e 2.º ano de liberação com prazos de garantia de 5 e 10 anos),,"Por despacho da diretora da Unidade de Coordenação Territorial, Dr.ª Helena Maria Pereira Caria (por subdelegação de competências ao abrigo do Despacho n.º 139/P/2019, de 10 de dezembro de 2019, publicado no 3.º Suplemento ao Boletim Municipal n.º1347, de 12 de dezembro de 2019): Por despacho de 9 de outubro de 2020, foi homologado o Auto de vistoria para efeito de liberação parcial de quantias retidas - n.º 3 (3.º ano de garantia e 2.º ano de liberação com prazos de garantia de 5 e 10 anos) da «Empreitada n.º 22/UCT/2017 - Requalificação do espaço público na Rua Francisco Stromp, no âmbito de Plano de Pormenor Alvalade XXI», adjudicada à entidade Ferreira - Construção, S.A.",,Unidade de coordenação territorial,Divisão de planeamento e controlo operacional,10/9/2020,"Rua Francisco Stromp, Alvalade, Lisboa",Despacho n.º 139/P/2019; 3.º Suplemento ao Boletim Municipal n.º 1347; Empreitada n.º 122UCT/2017; Plano de Pormenor Alvalade XXI,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de vistoria para efeito de consignação da obra,,"Por despacho da diretora da Unidade de Coordenação Territorial, Dr.ª Helena Maria Pereira Caria (por subdelegação de competências ao abrigo do Despacho n.º 139/P/2019, de 10 de dezembro de 2019, publicado no 3.º Suplemento ao Boletim Municipal n.º1347, de 12 de dezembro de 2019): Por despacho de 12 de outubro de 2020, foi homologado o Auto de vistoria para efeito de consignação da obra da «Empreitada n.º 3/DMU/DEP/DPAP/2019 - Promoção da acessibilidade pedonal na via pública na prioridade de Segurança 22, no Bairro dos Loios», adjudicada à entidade Obragoito - Construções e Obras Públicas, Ltd.ª.",,Unidade de coordenação territorial,unidade de intervenção Territorial oriental; Brigada LX Oriental,10/12/2020,Bairro dos Loios,Despacho n.º 139/P/2019; Boletim Municipal n.º 1347; 3/DMU/DEP/DPAP/2019,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de vistoria para efeitos de receção provisória - Audo de vistoria para efeito de consignação da obra,,"Por despacho da diretora da Unidade de Coordenação Territorial, Dr.ª Helena Maria Pereira Caria (por subdelegação de competências ao abrigo do Despacho n.º 139/P/2019, de 10 de dezembro de 2019, publicado no 3.º Suplemento ao Boletim Municipal n.º1347, de 12 de dezembro de 2019): Por despacho de 9 de outubro de 2020, foi homologado o Auto de vistoria para efeitos de receção provisória da «Empreitada n.º 11/UCT/UITC/2019 - Trabalhos de requalificação e conservação do revestimento em betuminoso da Rua de Macau, Rua de Timor e Rua de Cabo Verde», adjudicada à entidade Construções Pragosa, S.A.",,Unidade de coordenação territorial,Unidade de Intervenção Territorial Centro; Brigada LX Centro,10/9/2020,Rua de Macau; Rua de Timor; Rua de Cabo Verde,Despacho n.º 139/P/2019; Boletim Municipal n.º 1347; 11/UCT/UITC/2019,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de vistoria para efeito de consignação da obra,,"Por despacho da diretora da Unidade de Coordenação Territorial, Dr.ª Helena Maria Pereira Caria (por subdelegação de competências ao abrigo do Despacho n.º 139/P/2019, de 10 de dezembro de 2019, publicado no 3.º Suplemento ao Boletim Municipal n.º1347, de 12 de dezembro de 2019): Por despacho de 14 de outubro de 2020, foi homologado o Auto de vistoria para efeito de consignação da obra da «Empreitada n.º 29/UCT/UITC/2019 - Trabalhos de requalificação e conservação do revestimento em betuminoso na Rua Antónia Andrade, Rua maria e Rua Andrade», adjudicada à entidade Contex - Construção e Engenharia, S.A.",,Unidade de coordenação territorial,Unidade de Intervenção Territorial Centro; Brigada LX Centro,10/14/2020,Rua Antónia Andrade; Rua Maria; Rua Andrade,Despacho n.º 139/P/2019; Boletim Municipal n.º 1347; 29/UCT/UITC/2019,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Processos arquivados,,"Por despacho da diretora de departamento da UITCH, de 2015/11/13 (por subdelegação de competência constante no Despacho n.º 8/UTC/2015, publicado no Boletim Municipal n.º 1136, de 26 de novembro de 2015): 249/RLU - Rua da Atalaia, 204/214 - Por despacho dado em 2020/09/14. - Com os seguintes fundamentos: Concordo. Declaro a extinção do procedimento nos termos do artigo 95.º do Código Procedimento Administrativo. À Secretaria para atualizar a Base de Dados. É de qrquivar o processo. À DAM. 436/RLU - Largo do Calhariz, 15/19 - Por despacho dado em 2020/09/22 - Com os seguintes fundamentos: Concordo. Declaro a extinção do procedimento nos termos do artigo 95.º do Código Procedimento Aministrativo. À Secretaria para atualizar a Base de Dados. É de arquivar o processo. À DAM. 524/RLU19 - Rua Eduardo Coelho, 61/65 - Por despacho dado em 2020/10/06. - Com os seguintes fundamentos: Concordo. Declaro a extinção do procedimento nos termos do artigo 95.º do Código Procedimento Aministrativo. À Secretaria para atualizar a Base de Dados. É de arquivar o processo. À DAM. 72/RLU/19 - Rua Eduardo Coelho, 41/47 - Por despacho dado em 2020/10/06. - Com os seguintes fundamentos: Concordo. Declaro a extinção do procedimento nos termos do artigo 95.º do Código Procedimento Aministrativo. À Secretaria para atualizar a Base de Dados. É de arquivar o processo. À DAM.",,Unidade de coordenação territorial,Unidade de Intervenção Territorial Centro Histórico,2020/09/14; 2020/09/22; 2020/10/06; 2020/10/06,"Rua da Atalaia 204/214; Largo do Calhariz, 15/19; Rua Eduardo Coelho, 61/65; Rua Eduardo Coelho, 41/47",Despacho n.º 8/UCT/2015,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
Auto de vistoria para efeito de consignação da obra,,"Por despacho da diretora da Unidade de Coordenação Territorial, Dr.ª Helena Maria Pereira Caria (por subdelegação de competências ao abrigo do Despacho n.º 139/P/2019, de 10 de dezembro de 2019, publicado no 3.º Suplemento ao Boletim Municipal n.º 1347, de 12 de dezembro de 2019): Por despacho de 14 de outubro de 2020, foi homologado o Auto de vistoria para efeito de consignação da obra da «Empreitada n.º 14/UCT/UITCH/2020 - Repavimentação de troço da Estrada do Loureiro», adjudicada à entidade Cimeira - Indústria e Comèrcio de Construção Civil, Ltd.ª.",,Unidade de coordenação territorial, Brigada LX Cenro Histórico,10/14/2020,troço da Estrada do Loureiro,Despacho n.º 139/P/2019; 14/UCT/UITCH/2020,,,Boletim Municipal 1392,22/10/2019,https://www.lisboa.pt/cidade/urbanismo/planeamento-urbano/planos-de-pormenor/detalhe/alvalade-xxi,,,,,,,,,,,,,,
